,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,z-w1,z-w2,z-w3,z-w4,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,w1,w2,w3,w4,link
0,1237650795683184774,146.280188386132,-0.406953109840997,1.2893600000000003,1.8194100000000013,3.4302800000000016,1.6108700000000002,0.8880300000000005,2.349729999999999,2.4117300000000004,3.21973,6.3877299999999995,0.33588944505043716,0.062363,1.0,IC0560,27.2,0.5196306,Possible contaminants,195.42097138816877,-15.957274520170998,18.92301,17.1036,15.81424,16.21557,15.49273,13.143,13.081,12.273,9.105,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237650795683184774
1,1237650795683250313,146.355999962623,-0.335717636727191,0.9018100000000011,1.584229999999998,2.6261200000000002,1.0418900000000022,0.5632100000000015,2.3275499999999987,2.8065499999999997,5.791549999999999,9.31655,0.3710805645515973,0.079312,1.0,IC0560,27.2,0.7128902,Possible contaminants,120.29623226308047,-13.354614520170998,20.96567,19.38144,18.47963,18.81823,18.33955,16.012,15.533,12.548,9.023,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237650795683250313
2,1237648720679272634,146.629629363229,-0.465660529958573,1.3946500000000022,1.7505399999999973,3.501829999999998,1.751290000000001,0.9217700000000022,1.9964900000000014,2.1744900000000005,4.74849,7.1244900000000015,0.4077980467846186,0.084781,0.7704107,IC0560,27.2,0.8323225,Possible contaminants,439.67532682909945,-15.460834520170998,19.38432,17.63378,16.23913,16.71201,15.88249,13.886,13.708,11.134,8.758,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237648720679272634
3,1237650795683315882,146.608014643224,-0.291307521326906,0.8430999999999997,1.2792400000000015,2.259319999999999,0.9800799999999974,0.49939999999999785,2.347780000000002,2.4077800000000025,5.3517800000000015,8.904780000000002,0.3959122338690735,0.080509,0.7610853,IC0560,27.2,0.53184,Possible contaminants,172.3995220647682,-13.741384520170996,20.2101,18.93086,18.08776,18.43146,17.95078,15.603,15.543,12.599,9.046,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237650795683315882
4,1237648721216012486,146.378596650987,-0.11213577090565,1.3931699999999978,1.7070500000000024,3.4765900000000016,1.7695399999999992,0.9349799999999995,2.2908799999999996,2.336879999999999,4.836879999999999,8.609879999999999,0.39754313327581253,0.103601,0.9295307,IC0560,27.2,0.8527302,Possible contaminants,78.80274153484305,-13.982404520170999,20.83247,19.12542,17.73225,18.19044,17.35588,15.065,15.019,12.519,8.746,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237648721216012486
5,1237648721216078167,146.496843946865,-0.103945766813802,1.4849800000000002,1.765220000000003,3.620790000000003,1.8555700000000002,1.0248199999999983,2.0975199999999994,2.037519999999999,5.770519999999999,8.73252,0.41525232266781475,0.123133,0.5575473,IC0560,27.2,0.8931553,Possible contaminants,324.7761251028538,-13.922574520170997,21.04031,19.27509,17.79011,18.25027,17.41952,15.322,15.382,11.649,8.687,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237648721216078167
6,1237648721216078161,146.486097957274,-0.101803409874061,1.4996500000000026,2.099499999999999,3.9600100000000005,1.8605100000000014,1.0353300000000019,2.0031499999999998,2.187149999999999,5.66315,8.76515,0.3584874364578603,0.114592,0.6087333,IC0560,27.2,0.7310264,Possible contaminants,264.5670908782856,-13.799514520170998,21.50816,19.40866,17.90901,18.37333,17.54815,15.545,15.361,11.885,8.783,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237648721216078161
7,1237648721216078080,146.470026654405,-0.147237390576512,0.8156099999999995,1.1695799999999998,2.0850399999999993,0.9154599999999995,0.4973799999999997,1.8549500000000023,2.369950000000001,5.621950000000002,8.951950000000002,0.42091066679309447,0.079986,0.6537985,IC0560,27.2,0.5499098,Possible contaminants,243.83922829397568,-13.705814520170996,20.13399,18.96441,18.1488,18.46703,18.04895,16.194,15.679,12.427,9.097,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237648721216078080
8,1237660635994325143,153.349946672835,43.26624328874,1.2845700000000022,1.877089999999999,3.5134299999999996,1.6363400000000006,0.8761700000000019,2.26112,2.31212,3.721120000000001,7.39212,0.33540482013827144,0.084237,1.0,IC0598,35.3,0.5458335,Possible contaminants,223.18095770954156,-15.28558352693911,20.20655,18.32946,17.04489,17.45329,16.69312,14.432,14.381,12.972,9.301,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237660635994325143
9,1237660635994259569,153.22000338095,43.164060364135,1.41798,1.92549,3.7122899999999994,1.7867999999999995,0.9693700000000014,2.2582400000000007,2.3962400000000006,4.22024,6.712240000000001,0.362946317240191,0.092535,0.7474602,IC0598,35.3,0.3608387,Possible contaminants,567.5944680620312,-16.25620352693911,19.37753,17.45204,16.03406,16.48267,15.66524,13.407,13.269,11.445,8.953,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237660635994259569
10,1237661358071349425,153.097491016134,43.317882474638,1.2367099999999986,1.78754,3.318109999999999,1.530569999999999,0.828520000000001,1.8578899999999994,1.9408899999999996,3.32789,6.518890000000001,0.3177746447116691,0.066383,1.0,IC0598,35.3,0.9283376,Possible contaminants,595.9175786525159,-16.65793352693911,18.697,16.90946,15.67275,16.08094,15.37889,13.521,13.438,12.051,8.86,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661358071349425
