Name,RA,DEC,mass,host,log_ml,log_l,log_m,host_mass,host_ra,host_dec,host_distance,objid
VCC1192,187.3760461,7.992843176,1.50E+08,NGC4472,0.746,11.029,11.775,595662143529,187.4448598,8.000469819,17.14,1237654786779840539
VCC-344,184.846192,5.7948369,5.61E+09,NGC4261,0.82,10.793,11.613,410204102987,184.8467336,5.824916673,29.4,1237654606410285099
VCC1627,188.9052046,12.38204621,1.37E+08,NGC4552,0.743,10.391,11.134,136144468247,188.9158639,12.55634189,15.33,1237661949719347370
NGC5846cE/J150634.27+013331.6,226.6428187,1.558828273,2.27E+09,NGC5846,0.844,10.665,11.509,322849412171,226.6208,1.6056,28.5,1237655468598165525
NGC4486B/VCC1297,187.6332446,12.49021469,4.52E+09,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,1237661812812873761
VCC1199,187.3958044,8.057987548,1.50E+08,NGC4472,0.746,11.029,11.775,595662143529,187.4458,8.0006,17.14,1237654786779840584
VUCD7,187.9703947,12.266407,1.64E+07,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,1237658629695733921
M59cO,190.480562,11.66772085,7.50E+07,NGC4621,0.759,10.354,11.113,129717927098,190.509675,11.646931,15.35,1237661816022499458
VUCD5,187.7995008,12.6836306,2.16E+07,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,1237658630232539222
NGVS-UCD395,187.6392846,12.49843481,1.26E+07,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,1237661812812873762
M87UCD-16 ,187.8820771,12.69175343,1.00E+07,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,1237661950255825006
M87UCD-3  ,187.5835157,11.92187464,1.26E+07,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,1237658629158666684
M87UCD-15,187.9916343,13.25947915,7.94E+06,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,1237661950792695951
NGVS-UCD372,187.5752166,7.840270862,1.26E+07,NGC4472,0.746,11.029,11.775,595662143529,187.4448598,8.000469819,17.14,1237661976011407572
