,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link
5,588017703470694575,187.7390885,12.42902879,1.219089,1.99775,3.501635,1.503885,0.801174,0.4295560791,0.064432,1,NGC4486,16.4,0.999748,Known galaxies,24.13246782,-13.00093324,20.87221,18.87446,17.655371,18.073286,17.370575,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017703470694575
31,588017566564745396,187.8820504,12.69177734,0.918632,1.57951,2.654173,1.074663,0.544668,0.4119603773,0.063845,0.919178,NGC4486,16.4,0.772155,Known galaxies,51.84209743,-12.30902324,20.889374,19.309864,18.391232,18.765196,18.235201,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566564745396
36,588017702933758107,187.5835011,11.92187929,0.939611,1.517237,2.646874,1.129637,0.615393,0.3582783597,0.057011,1,NGC4486,16.4,0.942084,Known galaxies,47.16198065,-12.57350824,20.633341,19.116104,18.176493,18.500711,17.986467,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017702933758107
50,588017566027939963,187.9704079,12.26640682,0.986498,1.615053,2.807095,1.192042,0.659098,0.3534396132,0.055117,1,NGC4486,16.4,0.975871,Known galaxies,132.9312824,-13.91739724,19.430973,17.81592,16.829422,17.156822,16.623878,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566027939963
54,588017566564679738,187.6332029,12.49017102,1.232374,1.93953,3.480027,1.540497,0.777068,0.3568282683,0.073552,0.898676,NGC4486,16.4,0.964339,Known galaxies,187.5344075,-17.97241824,15.818399,13.878869,12.646495,13.101801,12.338372,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566564679738
55,588017566564679860,187.639286,12.49844173,0.842589,1.597019,2.616423,1.019404,0.556513,0.4289291344,0.056054,0.985447,NGC4486,16.4,0.91407,Known galaxies,41.98587081,-12.57944924,20.648302,19.051283,18.208694,18.49477,18.031879,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566564679860
66,588017702398263415,190.8998501,11.53463379,1.254483,2.217363,3.818889,1.601526,0.829115,0.4605482862,0.075014,0.748462,NGC4649,17.38,0.946663,Known galaxies,26.30083678,-14.48546586,19.761261,17.543898,16.289415,16.714783,15.942372,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017702398263415
79,588017569237762118,191.1105002,11.24143072,1.240305,1.795074,3.337511,1.542437,0.852141,0.4246244623,0.065681,0.6303,NGC4649,17.38,0.917169,Known galaxies,59.05116838,-12.85477686,20.992687,19.197613,17.957308,18.345472,17.655176,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017569237762118
80,588017569774370888,190.5460062,11.64478272,1.20634,1.965585,3.513206,1.547621,0.817351,0.4354429081,0.055962,0.985816,NGC4649,17.38,0.914664,Known galaxies,22.56998459,-15.11646686,18.866718,16.901133,15.694793,16.083782,15.353512,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017569774370888
90,588017569774305500,190.4805584,11.66771037,1.203062,2.094478,3.647867,1.553389,0.817742,0.445186729,0.07419,0.837338,NGC4649,17.38,0.956307,Known galaxies,33.07031299,-13.98222586,20.130243,18.035765,16.832703,17.218023,16.482376,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017569774305500
