Name,RA,DEC,mass,host,log_ml,log_l,log_m,host_mass,host_ra,host_dec,host_distance,objid
NGVS-UCD395,187.6393011,12.4984263,1.26E+07,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,588017566564679860
NGVS-UCD471,187.8820976,12.6917652,1.00E+07,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,588017566564745396
NGVS-UCD769,191.1105412,11.2414219,2.51E+07,NGC4649,0.774,10.881,11.655,451855944375,190.9167,11.552611,17.38,588017569237762118
NGVS-UCD588,188.8762704,12.6400855,1.26E+07,NGC4552,0.743,10.391,11.134,136144468247,188.9158639,12.55634189,15.33,588017570847391905
NGVS-UCD374 ,187.5835255,11.9218566,1.26E+07,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,588017702933758107
NGVS-UCD372,187.5752391,7.8402478,1.26E+07,NGC4472,0.746,11.029,11.775,595662143529,187.4448598,8.000469819,17.14,588017729763213506
VCC1192,187.3758330,7.992778,1.50E+08,NGC4472,0.746,11.029,11.775,595662143529,187.4448598,8.000469819,17.14,588017726012129348
VCC 344,184.8420833,5.798889,5.61E+09,NGC4261,0.82,10.793,11.613,410204102987,184.8467336,5.824916673,29.4,588010360162091054
VCC1627,188.9050000,12.381944,1.37E+08,NGC4552,0.743,10.391,11.134,136144468247,188.9158639,12.55634189,15.33,588017703471153243
NGC5846cE/J150634.27+013331.6,226.6427920,1.558778,2.27E+09,NGC5846,0.844,10.665,11.509,322849412171,226.6208,1.6056,28.5,587726032268951674
NGC4486B/VCC1297,187.6332080,12.490167,4.52E+09,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,588017566564679738
VCC1199,187.3958330,8.058056,1.50E+08,NGC4472,0.746,11.029,11.775,595662143529,187.4458,8.0006,17.14,588017726012129381
NGC-3665cO,171.2279167,38.778889,9.30E+08,NGC3665,0.748,10.76,11.508,322106879128,171.18195,38.76278867,26.3,588017978351485028
VUCD7,187.9705420,12.266528,1.64E+07,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,588017566027939963
M59cO,190.4805420,11.667694,7.50E+07,NGC4621,0.759,10.354,11.113,129717927098,190.509675,11.646931,15.35,588017569774305500
M60-UCD1,190.9000000,11.534611,1.80E+08,NGC4649,0.774,10.881,11.655,451855944375,190.9167,11.552611,17.38,588017702398263415
VUCD3/S547,187.7391670,12.429111,4.52E+07,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,588017703470694575
M59-UCD3,190.5460417,11.644778,2.40E+08,NGC4621,0.759,10.354,11.113,129717927098,190.509675,11.646931,15.35,588017569774370888
VUCD5,187.7995830,12.683667,2.16E+07,NGC4486,0.815,10.869,11.684,483058802040,187.7059308,12.39112329,16.4,588017566564745340
