,name,ra,dec,velocity,redshift,flag
0,WISEA J081605.27+580019.8,124.02192,58.00553,7901.0,0.026355,
1,CGCG 287-064,124.02194,58.00555,7826.0,0.026105,
2,WISEA J092446.22+401243.2,141.19241,40.21204,--,--,
3,WISEA J105033.88+274619.8,162.64116,27.77219,42394.0,0.14141,SPEC
4,WISEA J112312.40+400510.1,170.80167,40.08609,--,--,
5,WISEA J121410.14+071652.1,183.54228,7.28113,42033.0,0.140206,SPEC
6,2MASX J12524581-0117402,193.19096,-1.29453,--,--,
7,,,,,,
8,WISEA J233323.27-010642.8,353.34696,-1.11192,28850.0,0.096234,SPEC
9,WISEA J095934.95+114407.3,149.89564,11.73536,37951.0,0.126591,SPEC
10,SDSS J093004.03+074347.5,142.5168,7.72987,--,--,
11,WISEA J013502.59+152915.8,23.76084,15.48771,21629.0,0.072148,SPEC
12,WISEA J013547.77+151512.3,23.94909,15.25342,20739.0,0.069178,SPEC
13,WISEA J013534.47+151652.0,23.89354,15.28115,21196.0,0.070702,SPEC
14,WHL J013534.5+151652,23.8936,15.28113,21195.0,0.0707,SPEC
15,2MASX J01345349+1442556,23.72288,14.71549,18639.0,0.062172,SPEC
16,WISEA J013558.55+144017.5,23.994,14.67158,21584.0,0.071995,SPEC
17,CGCG 437-007,24.71645,15.04968,8318.0,0.027745,SPEC
18,WISEA J013543.40+151910.4,23.93084,15.31955,21149.0,0.070546,SPEC
19,WISEA J013727.12+151828.2,24.36292,15.30788,35125.0,0.117163,SPEC
20,LSBC F612-V02,24.58179,15.40074,21521.0,0.071787,SPEC
21,WISEA J013854.42+151752.5,24.72678,15.29792,21102.0,0.070389,SPEC
22,WISEA J014058.10+152017.6,25.24211,15.33851,17050.0,0.056872,SPEC
23,CGCG 437-008,24.72821,15.02159,8365.0,0.027901,SPEC
24,WISEA J013932.11+145451.4,24.88385,14.9142,33477.0,0.111666,SPEC
25,WISEA J015046.14+054851.4,27.69233,5.81425,--,--,
26,WISEA J021446.78+061841.1,33.69493,6.31146,17337.0,0.057831,PHOT
27,WISEA J084107.39+044917.1,130.28078,4.82142,25910.0,0.086425,SPEC
28,WISEA J084924.81+332221.6,132.35341,33.37271,19858.0,0.066238,SPEC
29,WISEA J085008.13+325018.0,132.53386,32.83835,19957.0,0.066569,SPEC
30,WHL J085306.0+334404,133.27481,33.73438,23624.0,0.0788,SPEC
31,WISEA J085305.95+334403.8,133.27482,33.73438,23371.0,0.077957,SPEC
32,WISEA J090903.96+070904.2,137.26654,7.15118,20944.0,0.069863,SPEC
33,CGCG 265-007,140.57423,50.77115,20505.0,0.068397,SPEC
34,WISEA J091933.47+503543.8,139.88941,50.59548,29647.0,0.098893,SPEC
35,WISEA J092654.16+080354.4,141.72573,8.0651,23584.0,0.078669,SPEC
36,MaxBCG J141.72573+08.06509,141.72573,8.0651,34821.0,0.11615,PHOT
37,2MASS J09304154+2127130,142.67311,21.4536,21742.0,0.072523,SPEC
38,WISEA J093351.04+205948.7,143.46274,20.99709,26646.0,0.088881,SPEC
39,WISEA J092830.79+215021.2,142.12836,21.83927,23832.0,0.079496,SPEC
40,WISEA J093310.14+204341.5,143.2923,20.7282,46530.0,0.155206,SPEC
41,2MASX J09333212+2043451,143.38402,20.7293,30721.0,0.102475,SPEC
42,WISEA J094223.27+315135.4,145.59698,31.85983,23125.0,0.077136,SPEC
43,WISEA J095239.48+165039.6,148.16449,16.84437,41464.0,0.138308,SPEC
44,WISEA J101952.09+405918.4,154.96706,40.98847,27410.0,0.091431,SPEC
45,NSC J101955+405934,154.96706,40.98847,27581.0,0.092,SPEC
46,WISEA J102042.35+413627.7,155.17639,41.60774,28469.0,0.094963,SPEC
47,MSPM 05357,155.1764,41.6077,28498.0,0.09506,
48,2MASX J10195601+4547533,154.9835,45.79817,20565.0,0.068599,SPEC
49,WISEA J104325.23+245201.9,160.85515,24.86716,16506.0,0.055058,SPEC
50,WISEA J104235.52+122737.4,160.648,12.46037,19170.0,0.063944,SPEC
51,WHL J104235.5+122737,160.64801,12.46034,19277.0,0.0643,SPEC
52,WISEA J104638.91+114554.8,161.6621,11.76524,16433.0,0.054816,SPEC
53,WISEA J104435.78+111746.0,161.14919,11.29614,15978.0,0.053297,SPEC
54,WISEA J105309.66+055340.2,163.2903,5.89448,36251.0,0.12092,SPEC
55,WISEA J105931.44+144946.3,164.88103,14.82949,26359.0,0.087925,SPEC
56,2MASX J11010591+2808595,165.27451,28.14987,--,--,
57,WISEA J110737.37-000138.0,166.90573,-0.02725,20063.0,0.066922,SPEC
58,WISEA J110747.42+000132.6,166.94761,0.02573,20326.0,0.0678,
59,WISEA J110821.69+004921.4,167.09044,0.82268,26391.0,0.088032,SPEC
60,WISEA J111042.75+555521.5,167.67788,55.92273,54125.0,0.18054,SPEC
61,CGCG 267-055,168.84155,55.97392,9770.0,0.032589,SPEC
62,WISEA J111748.48+120036.7,169.452,12.01011,24931.0,0.083162,SPEC
63,IC 2720,169.89855,12.07658,11921.0,0.039764,SPEC
64,IC 2725,169.98934,13.42928,25368.0,0.084617,SPEC
65,WISEA J112232.57+134618.1,170.63576,13.7717,49153.0,0.163956,SPEC
66,WISEA J111932.39+140224.2,169.88499,14.04003,20926.0,0.069803,SPEC
67,WISEA J111709.24+132123.3,169.28848,13.35646,34577.0,0.115336,SPEC
68,IC 2722 NED01,169.9331,13.96392,20607.0,0.068739,SPEC
69,IC 2760,170.55334,12.66541,25410.0,0.084759,SPEC
70,WHL J111418.7+125318,168.57771,12.88823,33487.0,0.1117,SPEC
71,WISEA J111418.66+125317.6,168.57773,12.88822,33557.0,0.111934,SPEC
72,WISEA J111552.15+125318.1,168.96728,12.88828,--,--,
73,WISEA J112102.85+122522.5,170.2619,12.42299,24827.0,0.082815,SPEC
74,WISEA J112206.10+124641.1,170.52549,12.77808,38824.0,0.129504,SPEC
75,WISEA J111956.52+133756.1,169.9855,13.63222,38195.0,0.127405,SPEC
76,2MASX J11200425+1358565,170.01757,13.98237,21006.0,0.070068,SPEC
77,WISEA J111910.03+123655.2,169.79179,12.61533,26168.0,0.087288,SPEC
78,WISEA J112218.18+124027.6,170.57578,12.67434,23800.0,0.079389,SPEC
79,WISEA J111703.19+125653.4,169.26333,12.94817,25536.0,0.08518,SPEC
80,WISEA J112748.42+434941.8,171.95174,43.82832,30406.0,0.101422,SPEC
81,WISEA J112743.13+165051.7,171.92981,16.84783,51617.0,0.172176,SPEC
82,WISEA J113357.28+530014.9,173.48882,53.00417,40569.0,0.135322,SPEC
83,WISEA J114056.94+110036.6,175.23729,11.01018,23920.0,0.079788,SPEC
84,WISEA J114045.72+110439.4,175.19054,11.07766,31967.0,0.106629,SPEC
85,WHL J114045.7+110440,175.19054,11.07766,31898.0,0.1064,SPEC
86,NSC J114102+105929,175.2645,11.0018,28690.0,0.0957,PHOT
87,WISEA J114103.45+110006.6,175.26452,11.00181,24011.0,0.080091,SPEC
88,WISEA J114101.04+110337.7,175.25433,11.06047,24968.0,0.083283,SPEC
89,WISEA J113959.52+111108.0,174.99804,11.1856,24515.0,0.081774,SPEC
90,WISEA J114020.94+112125.2,175.08724,11.35701,32485.0,0.108358,SPEC
91,WISEA J114023.54+110904.3,175.09785,11.15134,23675.0,0.07897,SPEC
92,2MASX J11405104+1112110,175.21268,11.20321,23610.0,0.078756,SPEC
93,WISEA J114012.53+113505.5,175.05225,11.58489,23841.0,0.079524,SPEC
94,2MASX J11402713+1134175,175.1132,11.57153,23938.0,0.079848,SPEC
95,WISEA J113936.33+112626.9,174.90139,11.4408,24529.0,0.081821,SPEC
