,name,ra,dec,velocity,redshift,flag
0,WISEA J094530.86-000643.6,146.3786,-0.11214,--,--,
1,WISEA J094557.73-002209.6,146.49055,-0.36933,36919.0,0.123149,SPEC
2,NVSS J094504-001345,146.26667,-0.22931,--,--,
3,WISEA J094504.54-001343.5,146.26868,-0.22856,149201.0,0.49768,SPEC
4,WISEA J094527.70-002036.7,146.36542,-0.34355,15734.0,0.052484,SPEC
5,SDSS J094619.49-002250.2,146.58121,-0.38061,--,--,
6,WISEA J094619.63-002248.6,146.58187,-0.38019,--,--,
7,WISEA J094507.24-002424.9,146.2802,-0.40696,18995.0,0.06336,SPEC
8,SDSS J094645.08-001721.4,146.68786,-0.28929,--,--,
9,WISEA J094645.10-001723.1,146.68805,-0.28984,--,--,
10,WISEA J094650.10-001924.8,146.70882,-0.32357,--,--,
11,SDSS J094641.92-001759.1,146.67467,-0.29975,--,--,
12,WISEA J094642.36-001756.4,146.67655,-0.2988,--,--,
13,SDSS J094642.87-001758.1,146.67863,-0.29949,--,--,
14,WISEA J094500.40-002826.6,146.25164,-0.47415,--,--,
15,WISEA J094527.62-003353.8,146.36506,-0.56514,--,--,
16,WISEA J094631.11-002756.2,146.62963,-0.46566,26785.0,0.089345,SPEC
17,WISEA J094630.26-002805.9,146.62636,-0.46859,--,--,
18,WISEA J094634.34-002525.8,146.64311,-0.42384,--,--,
19,WISEA J094634.96-002524.4,146.64568,-0.42359,--,--,
20,WISEA J101234.38+431321.6,153.14322,43.22269,--,--,
21,SDSS J101153.94+431248.5,152.97478,43.21348,--,--,
22,WISEA J101154.04+431253.6,152.97521,43.21506,--,--,
23,WISEA J101234.58+431543.4,153.14405,43.26191,--,--,
24,WISEA J101326.74+431019.0,153.36149,43.17191,--,--,
25,SDSS J101334.97+425910.8,153.39571,42.98636,--,--,
26,WISEA J101335.10+425907.9,153.39614,42.9855,28615.0,0.09545,SPEC
27,WISEA J101312.68+431715.2,153.3028,43.28777,--,--,
28,WISEA J101324.00+431558.5,153.34998,43.26625,--,--,
29,WISEA J101313.00+431353.1,153.30417,43.23135,--,--,
30,WISEA J101313.99+431708.3,153.30846,43.28569,--,--,
31,WISEA J101259.61+431627.8,153.24837,43.27439,--,--,
32,SDSS J101259.95+431620.4,153.24981,43.27235,--,--,
33,WISEA J101300.02+431635.8,153.25008,43.27663,--,--,
34,WISEA J101333.94+431819.7,153.39143,43.30548,--,--,
35,WISEA J101334.34+431810.8,153.393,43.303,--,--,
36,WISEA J111328.68+091255.4,168.3695,9.21542,21655.0,0.072234,SPEC
37,WISEA J111146.73+085418.7,167.94473,8.90519,21285.0,0.070999,SPEC
38,WISEA J111228.69+084748.2,168.11954,8.79671,24994.0,0.083371,SPEC
39,WISEA J111257.82+084808.1,168.24097,8.8022,--,--,
