,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link
279,587738196654358584,124.02195027,58.00554505,1.452668000000001,1.9386009999999985,3.7094759999999987,1.7708750000000002,0.9627770000000009,0.3009175252892476,0.088868,1.0,NGC2549,12.3,0.783428,Possible compact galaxies,434.9400129488301,-16.67751255719699,16.673391,14.73479,13.282122,13.772013,12.963915,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587738196654358584
431,587732152567333332,141.19241052,40.21204958,1.3099519999999991,1.091389000000003,2.3874150000000007,1.2960259999999977,0.6479949999999981,0.4889187136619544,0.115711,1.0,NGC2852,28.5,0.403622,Possible compact galaxies,410.4329940735673,-12.072768300042547,21.94084,20.849451,19.539499,20.201456,19.553425,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732152567333332
992,587741489832788015,162.64115063,27.77218727,1.443123,1.8693790000000021,3.621842000000001,1.7524629999999988,0.9813539999999996,0.4352043489488515,0.116241,1.0,NGC3414,24.5,0.683718,Possible compact galaxies,443.47815152924426,-15.433091421822663,19.363472,17.494093,16.05097,16.512739,15.74163,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741489832788015
1417,588017979962032264,170.80166508,40.08609974,1.4357770000000016,1.779788,3.5992420000000003,1.8194540000000003,0.9318249999999999,0.3466475429300937,0.085726,0.966494,NGC3648,31.9,0.367533,Possible compact galaxies,471.8778861309191,-15.585834415285904,19.644732,17.864944,16.429167,16.933119,16.04549,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017979962032264
2339,588017724936749185,183.54227057,7.28111913,1.4741719999999994,1.744811000000002,3.569617000000001,1.8248059999999988,0.982173999999997,0.3586228574447992,0.127605,0.966071,NGC4191,39.2,0.473704,Possible compact galaxies,346.78420963421013,-15.556135335102288,20.13728,18.392469,16.918297,17.410295,16.567663,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017724936749185
5204,587724650873421837,193.19095821,-1.29453195,1.4872389999999989,2.098072000000002,3.744414000000001,1.6463419999999989,0.9566189999999999,0.3415504498060629,0.135431,0.985428,NGC4753,22.9,0.912156,Possible compact galaxies,380.38822629559127,-15.791740411699443,19.062128,16.964056,15.476817,16.007437,15.317714,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587724650873421837
5224,588017702399246428,193.16745229,11.4274108,1.4621999999999993,1.0438669999999988,2.5571579999999976,1.5132909999999988,0.651213000000002,0.5904947789482569,0.103631,0.651333,NGC4754,16.1,0.405169,Possible compact galaxies,467.8927911578192,-12.053153380159252,20.676056,19.632189,18.169989,18.980976,18.118898,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017702399246428
6020,588015507655819419,353.34696868,-1.11192193,1.4423969999999997,1.8138529999999982,3.6296839999999992,1.815831000000001,0.9868330000000007,0.3450948382123172,0.10903,0.946986,NGC7693,35.4,0.707901,Possible compact galaxies,496.53662641796296,-16.64805231012894,18.89765,17.083797,15.6414,16.096964,15.267966,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588015507655819419
6099,587738409788375198,149.89561822,11.73535433,1.4375530000000012,1.6579569999999997,3.483143000000002,1.8251860000000022,0.9943240000000024,0.3421980127323983,0.129876,1.0,PGC028887,41.0,0.965314,Possible compact galaxies,305.9521405915478,-16.06736628359868,19.648834,17.990877,16.553324,16.996553,16.165691,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587738409788375198
6416,587734691427058260,142.51679878,7.72986846,1.406872,2.0421750000000003,3.363125,1.3209499999999998,0.8957830000000016,0.6422841706687826,0.088062,1.0,IC0540,30.0,0.689517,Possible compact galaxies,353.30947303098577,-12.140735273598311,23.182829,21.140654,19.733782,20.244871,19.819704,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587734691427058260
6946,587724234254057632,23.76079282,15.48773508,1.4276530000000012,2.078181999999998,3.8898729999999997,1.8116910000000015,0.9821280000000012,0.2979861529016296,0.088118,1.0,NGC0620,37.8,0.775871,Possible compact galaxies,885.6966242760172,-17.863347999186125,18.084421,16.006239,14.578586,15.024111,14.194548,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587724234254057632
6949,587724199892090967,23.94909313,15.25342135,1.2272570000000016,1.9046149999999997,3.473841,1.5692260000000005,0.816726000000001,0.4062435589782505,0.042978,1.0,NGC0620,37.8,0.526055,Possible compact galaxies,1299.981824717006,-17.532875999186125,18.075924,16.171309,14.944052,15.354583,14.602083,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587724199892090967
6954,587724234254123165,23.89359599,15.28113282,1.4081759999999992,1.8933540000000004,3.6487730000000003,1.7554189999999998,0.9393759999999993,0.3154972336899683,0.07733,1.0,NGC0620,37.8,0.785449,Possible compact galaxies,1271.116609616435,-17.91085499918612,17.809334,15.91598,14.507804,14.976604,14.160561,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587724234254123165
6956,587724199355089072,23.7228788,14.7154982,1.3539570000000012,1.9179670000000009,3.598556000000002,1.6805890000000012,0.90503,0.3683633947916458,0.062026,1.0,NGC0620,37.8,0.583413,Possible compact galaxies,1035.2153597361732,-17.430956999186122,18.279499,16.361532,15.007575,15.456502,14.680943,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587724199355089072
6957,587724199355220006,23.99396114,14.67154933,1.468300000000001,1.984171,3.799514000000002,1.8153430000000021,0.985577000000001,0.332707101952033,0.08753,1.0,NGC0620,37.8,0.820917,Possible compact galaxies,810.8831033425728,-17.53156899918612,18.325638,16.341467,14.873167,15.35589,14.526124,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587724199355220006
