,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link
3,587725074458345622,146.35600456,-0.33571667,0.9023339999999997,1.5620290000000026,2.609356000000002,1.0473269999999992,0.5647069999999985,0.372478842676311,0.046808,1.0,IC0560,27.2,0.712102,Possible compact galaxies,119.93593890352903,-13.350857520170996,20.948723,19.386694,18.48436,18.821987,18.339367,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587725074458345622
19,587734622714658951,153.39782406,42.98567418,0.6846940000000004,1.360282999999999,2.5263109999999998,1.1660280000000007,0.4874629999999982,0.3631079701955443,0.050932,1.0,IC0598,35.3,0.424952,Possible compact galaxies,255.49153080855183,-13.516078526939108,21.070541,19.710258,19.025564,19.222795,18.54423,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587734622714658951
61,587732770515386579,175.02085978,9.12620536,1.1282819999999987,2.0203210000000027,3.453165000000002,1.4328439999999993,0.7099659999999979,0.4253443093274464,0.076857,0.776342,IC0719,29.4,0.838168,Possible compact galaxies,124.93341192099928,-12.825098652060788,22.246925,20.226604,19.098322,19.516638,18.79376,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732770515386579
83,587732770515518015,175.27796519,9.18719097,0.9898620000000022,1.3468969999999985,2.5524249999999995,1.205528000000001,0.5628680000000017,0.4798686859955899,0.077666,1.0,IC0719,29.4,0.960162,Possible compact galaxies,28.99921857165685,-12.002123652060789,22.249378,20.902481,19.912619,20.339613,19.696953,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732770515518015
84,587734891677155406,174.83004067,8.91940337,0.8550840000000015,1.1795839999999984,2.2127279999999985,1.033144,0.5274159999999988,0.3816932502156682,0.073039,0.824128,IC0719,29.4,0.988704,Possible compact galaxies,146.69417475727974,-14.595104652060789,19.453632,18.274048,17.418964,17.746632,17.240904,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587734891677155406
92,587742955739546037,185.24123112,5.68865744,1.11599,2.3253319999999995,3.7209699999999977,1.3956379999999982,0.6745079999999994,0.4561139418560707,0.074972,0.610715,IC0782,36.3,0.77625,Possible compact galaxies,150.8423384534946,-12.36994712518056,23.429426,21.104094,19.988104,20.429586,19.708456,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587742955739546037
121,587726033875632171,217.64106018,3.09580343,1.019445000000001,2.0647979999999997,3.7088920000000005,1.6440940000000008,0.9074870000000015,0.3776462971436414,0.103861,0.947011,IC1024,24.2,0.82223,Possible compact galaxies,183.63126930141624,-17.186352829902155,17.705009,15.640211,14.620766,14.732724,13.996117,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587726033875632171
126,587726016159219868,217.81101318,2.87000526,1.1005320000000012,2.1461620000000003,3.4494089999999993,1.303246999999999,0.7801399999999994,0.3720578422658252,0.064901,1.0,IC1024,24.2,0.619265,Possible compact galaxies,19.893025255527625,-12.576545829902155,22.268833,20.122671,19.022139,19.342531,18.819424,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587726016159219868
137,587729157902893345,218.09208028,3.24653115,1.3047350000000009,1.9982529999999983,3.6108239999999974,1.612570999999999,0.8897650000000006,0.4124948910999347,0.065934,0.753987,IC1024,24.2,0.939043,Possible compact galaxies,95.28344777216628,-13.314878829902156,21.492216,19.493963,18.189228,18.604198,17.881392,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587729157902893345
138,588017571384721950,189.97596566,12.99522287,0.7894480000000001,1.387288999999999,2.4530150000000006,1.0657260000000015,0.5055219999999991,0.4260772376843925,0.048298,0.920201,IC3631,42.0,0.544349,Possible compact galaxies,147.99543485436322,-12.196488451989502,22.812569,21.42528,20.635832,20.919758,20.359554,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017571384721950
149,588017704545354164,189.96868619,13.12219276,0.905541000000003,1.244525999999997,2.373891999999998,1.129366000000001,0.48363700000000165,0.4156260836814265,0.071121,0.949378,IC3631,42.0,0.828154,Possible compact galaxies,110.86491983246856,-13.060952451989504,21.783457,20.538931,19.63339,20.055294,19.409565,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017704545354164
185,587747981131579630,42.69565242,-1.76843225,0.7631219999999992,1.2301119999999983,2.250876999999999,1.0207650000000008,0.5457970000000003,0.4661456993663809,0.031635,1.0,NGC1121,35.3,0.894749,Possible compact galaxies,57.9717025776826,-13.652899526939107,20.861883,19.631771,18.868649,19.085974,18.611006,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587747981131579630
203,587750953245737399,42.68731995,-1.52426872,0.8489840000000015,1.6943839999999994,2.762822,1.0684380000000004,0.5837590000000006,0.4618823819701985,0.059665,0.839644,NGC1121,35.3,0.471055,Possible compact galaxies,292.35223940636394,-12.67529552693911,22.341721,20.647337,19.798353,20.063578,19.578899,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587750953245737399
205,758885350003835185,72.00702506,-5.24672612,1.3255750000000006,2.140872999999999,3.8110099999999996,1.6701370000000004,0.9306739999999998,0.4646269283696675,0.086223,0.651471,NGC1665,37.5,0.787254,Possible compact galaxies,92.40350998678092,-13.394971338638594,22.546732,20.405859,19.080284,19.475185,18.735722,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=758885350003835185
212,758887368099431188,72.12504417,-5.4819477,0.7364770000000007,1.2866940000000007,2.2930150000000005,1.0063209999999998,0.4383340000000011,0.3992131384837582,0.055672,1.0,NGC1665,37.5,0.504505,Possible compact galaxies,110.36698608064393,-12.032344338638596,22.56284,21.276146,20.539669,20.837812,20.269825,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=758887368099431188
216,758887368099365043,71.97177159,-5.60590363,0.9957750000000019,1.716749,2.9254700000000007,1.2087210000000006,0.702650000000002,0.4282833401696836,0.087732,0.961667,NGC1665,37.5,0.665553,Possible compact galaxies,87.51523833263781,-15.040055338638595,20.2495,18.532751,17.536976,17.830101,17.32403,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=758887368099365043
224,758887368099496633,72.18510136,-5.30108001,0.861343999999999,1.4092040000000026,2.5324000000000026,1.123196,0.5112779999999972,0.4494568690629296,0.059371,1.0,NGC1665,37.5,0.976572,Possible compact galaxies,82.98240650659207,-13.000128338638593,21.79051,20.381306,19.519962,19.870028,19.25811,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=758887368099496633
299,588016840709505329,127.0580155,26.09271727,0.8644409999999993,1.2125529999999998,2.3582549999999998,1.145702,0.4890749999999997,0.4309048341115287,0.069759,0.573475,NGC2592,25.0,0.709507,Possible compact galaxies,112.08867070882316,-12.517666043360189,21.173662,19.961109,19.096668,19.472034,18.815407,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588016840709505329
301,588016840709374128,126.74762525,25.85790497,0.8322600000000016,1.3513020000000004,2.382645,1.0313429999999997,0.5301620000000007,0.4290740435808771,0.049073,0.752173,NGC2592,25.0,0.467332,Possible compact galaxies,388.7021526026991,-14.989154043360188,18.88201,17.530708,16.698448,17.000546,16.499365,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588016840709374128
310,588016840709505252,126.97015801,26.08401899,1.018892000000001,1.6770120000000013,3.0023370000000007,1.3253249999999994,0.6796909999999983,0.321898233816528,0.055239,1.0,NGC2592,25.0,0.84312,Possible compact galaxies,139.9974650324357,-14.656061043360186,19.690342,18.01333,16.994438,17.333639,16.688005,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588016840709505252
320,588016878827471037,126.9399301,25.75430048,0.6791209999999985,1.1941820000000014,2.4424980000000005,1.248315999999999,0.4180829999999993,0.5205776403455641,0.056089,0.749871,NGC2594,35.1,0.443145,Possible compact galaxies,193.2603637408617,-12.01991058232912,22.31889,21.124708,20.445587,20.706625,19.876392,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588016878827471037
323,588016879364407629,126.73994072,26.09596844,0.9948179999999986,2.2638370000000023,3.6547870000000025,1.3909500000000001,0.7160589999999978,0.4206740054861859,0.057919,0.971355,NGC2594,35.1,0.374355,Possible compact galaxies,161.69883497786,-12.06863558232912,23.637796,21.373959,20.379141,20.6579,19.983009,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588016879364407629
362,587737809037754439,133.28474074,59.05941677,1.4857890000000005,2.324428000000001,3.498731000000003,1.1743030000000019,0.8277360000000016,0.4133526718483106,0.146492,0.888491,NGC2685,16.7,0.999926,Possible compact galaxies,26.750813936698787,-14.74703735573792,19.518709,17.194281,15.708492,16.366545,16.019978,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587737809037754439
380,587737825144996513,137.62180915,60.3152296,0.9126449999999977,1.9285910000000008,3.0238699999999987,1.095278999999998,0.5753459999999997,0.4914688475920719,0.055834,0.659018,NGC2768,21.8,0.681976,Possible compact galaxies,154.10825171675685,-12.139571468023023,22.056648,20.128057,19.215412,19.552711,19.032778,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587737825144996513
389,587725552813801669,138.2478448,60.0326865,1.3425089999999997,2.1041619999999988,3.7708650000000006,1.6667030000000018,0.9158840000000019,0.4795021498733128,0.079974,0.639725,NGC2768,21.8,0.821577,Possible compact galaxies,67.61952762654751,-12.505537468023023,22.206791,20.102629,18.76012,19.186745,18.435926,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587725552813801669
390,587725552813801684,138.28759649,60.06983006,1.172072,2.033487000000001,3.5630650000000017,1.5295780000000008,0.838042999999999,0.4743609535396385,0.075693,0.908758,NGC2768,21.8,0.740753,Possible compact galaxies,52.86765910668733,-12.333864468023023,22.229948,20.196461,19.024389,19.358418,18.666883,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587725552813801684
393,587725819088535776,137.60332231,60.07567727,0.9792169999999984,1.108042000000001,2.2280879999999996,1.1200459999999985,0.4966450000000009,0.3804702777375032,0.086855,0.820595,NGC2768,21.8,0.891509,Possible compact galaxies,89.75393242065314,-12.328505468023025,20.968464,19.860422,18.881205,19.363777,18.740376,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587725819088535776
399,587735044153344029,137.96430722,34.84601557,0.9154969999999985,1.7248669999999997,2.738624999999999,1.0137579999999993,0.6733839999999987,0.4424161331188855,0.073,0.917976,NGC2778,22.3,0.260652,Possible compact galaxies,57.354164911185066,-15.512347315240802,18.627428,16.902561,15.987064,16.229177,15.888803,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735044153344029
422,587739407301738914,139.76668611,26.40885849,1.080362000000001,2.1568429999999985,3.185876999999998,1.0290339999999993,0.6883540000000004,0.4084687687572127,0.074814,0.970573,NGC2824,40.7,0.609757,Possible compact galaxies,201.00480534213213,-12.400175046126105,23.492994,21.336151,20.255789,20.647797,20.307117,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587739407301738914
424,587739407301804274,139.80242912,26.41629222,0.6696680000000015,1.8030650000000001,2.8950889999999987,1.0920239999999986,0.5065549999999988,0.5299315496868812,0.056665,0.508302,NGC2824,40.7,0.734869,Possible compact galaxies,380.80473555733374,-12.118679046126104,23.238913,21.435848,20.76618,20.929293,20.343824,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587739407301804274
444,587732483272605837,140.81674855,40.40297616,1.0232050000000008,1.7517469999999982,3.001422999999999,1.249676000000001,0.6964020000000026,0.4283255967253017,0.060715,0.62945,NGC2852,28.5,0.907794,Possible compact galaxies,94.82397319998616,-12.708663300042549,22.01371,20.261963,19.238758,19.565561,19.012287,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732483272605837
448,587735042543583421,140.83333006,34.74415948,1.3624990000000032,2.3390179999999994,3.983740000000001,1.6447220000000016,0.977844000000001,0.4632291255380117,0.114919,0.825084,NGC2859,27.0,0.729748,Possible compact galaxies,89.22444361687647,-13.120653820794931,22.353027,20.014009,18.65151,19.036165,18.369287,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735042543583421
523,588007005242327055,144.82050225,59.06046387,1.2553750000000008,2.127924,3.1345899999999993,1.0066659999999992,0.6988160000000008,0.5518210864254435,0.099617,0.944706,NGC2950,14.5,0.365079,Possible compact galaxies,194.8657917977406,-13.237338011174876,20.396242,18.268318,17.012943,17.569502,17.261652,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588007005242327055
535,587732701785555198,145.18828895,5.22561992,1.2408390000000011,2.094206,3.5950950000000006,1.5008890000000008,0.8640120000000024,0.3650546282000935,0.072557,0.66247,NGC2962,34.0,0.797487,Possible compact galaxies,369.4064080388053,-14.27696658521128,21.338646,19.24444,18.003601,18.380428,17.743551,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732701785555198
567,587729388218613778,150.06874417,55.83005722,0.890505000000001,1.181749,2.2339170000000017,1.0521680000000018,0.5415729999999996,0.3878240380136757,0.087607,0.864729,NGC3073,32.8,0.824686,Possible compact galaxies,99.28037543843604,-12.395707218558396,21.906984,20.725235,19.83473,20.183662,19.673067,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587729388218613778
594,587726033847320712,152.86744816,3.16004489,1.0130169999999978,1.751145000000001,2.9862600000000015,1.2351150000000004,0.6822540000000004,0.4536131599210176,0.06025,1.0,NGC3156,21.8,0.955004,Possible compact galaxies,33.20210812791728,-13.318693468023024,20.806988,19.055843,18.042826,18.373589,17.820728,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587726033847320712
606,587728309632565398,153.28690062,2.82627184,1.3185730000000007,2.3266659999999995,3.9657990000000005,1.639133000000001,0.881062,0.3843985929392901,0.082592,0.735621,NGC3156,21.8,0.579983,Possible compact galaxies,129.72554705335668,-12.537545468023024,22.362465,20.035799,18.717226,19.154737,18.396666,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587728309632565398
