,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link,spec_z
0,588017703470694425,187.74275348,12.37813432,1.330404999999999,1.9120960000000018,3.5447559999999996,1.6326599999999978,0.9159529999999982,0.35552638320642854,0.08249,1.0,NGC4486,16.4,0.473479,Possible contaminants,156.2623745002244,-13.767155240238491,20.135113,18.223017,16.892612,17.307064,16.590357,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017703470694425,0.085735
1,588017703470629035,187.66256398,12.37274491,1.3661509999999986,1.724267000000001,3.3980570000000014,1.6737900000000003,0.9438990000000018,0.4549838469268694,0.112495,0.501845,NGC4486,16.4,0.78633,Possible contaminants,205.4771228769844,-13.988772240238493,19.753613,18.029346,16.663195,17.085447,16.355556,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017703470629035,0.085436
2,588017566027677803,187.31907817,12.10408155,1.4092939999999992,1.9751010000000022,3.724159000000002,1.7490579999999998,0.9766249999999985,0.3066483730451038,0.096299,1.0,NGC4486,16.4,0.791153,Possible contaminants,209.58546242839014,-15.22675324023849,18.799192,16.824091,15.414797,15.847466,15.075033,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566027677803,0.089267
3,588017566027808847,187.60968288,12.10404898,1.3110329999999983,1.9921500000000023,3.7046969999999995,1.7125469999999972,0.921834999999998,0.3653560453988299,0.08911,1.0,NGC4486,16.4,0.83431,Possible contaminants,96.44336502160816,-13.62851024023849,20.359694,18.367544,17.056511,17.445709,16.654997,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566027808847,0.084514
4,588017703470497984,187.31555599,12.30924202,1.308959999999999,1.7886260000000007,3.428694,1.6400679999999994,0.8984659999999991,0.3374220013825203,0.086298,1.0,NGC4486,16.4,0.587718,Possible contaminants,126.89937792220174,-13.838997240238491,19.922314,18.133688,16.824728,17.235222,16.49362,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017703470497984,0.089051
5,588017704007565398,187.78660357,12.76492643,1.4486959999999982,2.0132910000000024,3.798604000000001,1.7853129999999986,0.9786179999999973,0.30813097253464705,0.091352,1.0,NGC4486,16.4,0.369167,Possible contaminants,232.4771058740663,-14.27134324023849,19.794785,17.781494,16.332798,16.802876,15.996181,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017704007565398,0.096667
6,588017566027677789,187.30407012,12.11081206,1.415684999999998,2.1339320000000015,3.876996,1.7430639999999986,0.9659489999999984,0.3036503712788882,0.093266,1.0,NGC4486,16.4,0.917582,Possible contaminants,196.7572497626279,-14.933131240238492,19.240969,17.107037,15.691352,16.141088,15.363973,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566027677789,0.089355
7,588017566564614321,187.54220087,12.56664284,1.115324000000001,1.6875110000000006,3.045542000000001,1.3580310000000004,0.7544690000000003,0.403324312968464,0.052721,0.996861,NGC4486,16.4,0.93587,Possible contaminants,65.31065219560712,-13.545637240238491,19.970562,18.283051,17.167727,17.528582,16.92502,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566564614321,0.08534
8,588017566564679873,187.67891838,12.53960557,1.327342999999999,1.8551330000000021,3.4844550000000005,1.6293219999999984,0.9077200000000012,0.414293582021502,0.08346,0.834597,NGC4486,16.4,0.532142,Possible contaminants,186.8258581276905,-13.915655240238493,19.921417,18.066284,16.738941,17.158564,16.436962,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017566564679873,0.085868
9,588017702933758080,187.55023474,11.90788217,1.2339759999999984,1.7512250000000016,3.2774690000000017,1.5262440000000002,0.8362289999999994,0.3456864880803729,0.064533,1.0,NGC4486,16.4,0.785871,Possible contaminants,223.97691026677677,-14.568285240238492,19.093388,17.342163,16.108187,16.505934,15.815919,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017702933758080,0.084134
