objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link
587725074458345622,146.35600456,-0.33571667,0.9023339999999997,1.5620290000000026,2.609356000000002,1.0473269999999992,0.5647069999999985,0.372478842676311,0.046808,1.0,IC0560,27.2,0.712102,Possible compact galaxies,119.93593890352903,-13.350857520170996,20.948723,19.386694,18.48436,18.821987,18.339367,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587725074458345622
587732770515386579,175.02085978,9.12620536,1.1282819999999987,2.0203210000000027,3.453165000000002,1.4328439999999993,0.7099659999999979,0.4253443093274464,0.076857,0.776342,IC0719,29.4,0.838168,Possible compact galaxies,124.93341192099928,-12.825098652060788,22.246925,20.226604,19.098322,19.516638,18.79376,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732770515386579
587732770515518015,175.27796519,9.18719097,0.9898620000000022,1.3468969999999985,2.5524249999999995,1.205528000000001,0.5628680000000017,0.4798686859955899,0.077666,1.0,IC0719,29.4,0.960162,Possible compact galaxies,28.99921857165685,-12.002123652060789,22.249378,20.902481,19.912619,20.339613,19.696953,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732770515518015
587734891677155552,174.82689771,8.8609105,1.2339950000000002,1.7854259999999975,3.1821009999999994,1.3966750000000019,0.8436810000000001,0.5343103310849183,0.084363,0.926359,IC0719,29.4,0.998875,Possible compact galaxies,34.711908877189714,-12.309210652060788,22.661633,20.876207,19.642212,20.032526,19.479532,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587734891677155552
587742955739546037,185.24123112,5.68865744,1.11599,2.3253319999999995,3.7209699999999977,1.3956379999999982,0.6745079999999994,0.4561139418560707,0.074972,0.610715,IC0782,36.3,0.77625,Possible compact galaxies,150.8423384534946,-12.36994712518056,23.429426,21.104094,19.988104,20.429586,19.708456,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587742955739546037
587726033875632171,217.64106018,3.09580343,1.019445000000001,2.0647979999999997,3.7088920000000005,1.6440940000000008,0.9074870000000015,0.3776462971436414,0.103861,0.947011,IC1024,24.2,0.82223,Possible compact galaxies,183.63126930141624,-17.186352829902155,17.705009,15.640211,14.620766,14.732724,13.996117,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587726033875632171
587747981131579630,42.69565242,-1.76843225,0.7631219999999992,1.2301119999999983,2.250876999999999,1.0207650000000008,0.5457970000000003,0.4661456993663809,0.031635,1.0,NGC1121,35.3,0.894749,Possible compact galaxies,57.9717025776826,-13.652899526939107,20.861883,19.631771,18.868649,19.085974,18.611006,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587747981131579630
758885350003835185,72.00702506,-5.24672612,1.3255750000000006,2.140872999999999,3.8110099999999996,1.6701370000000004,0.9306739999999998,0.4646269283696675,0.086223,0.651471,NGC1665,37.5,0.787254,Possible compact galaxies,92.40350998678092,-13.394971338638594,22.546732,20.405859,19.080284,19.475185,18.735722,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=758885350003835185
758887368099496633,72.18510136,-5.30108001,0.861343999999999,1.4092040000000026,2.5324000000000026,1.123196,0.5112779999999972,0.4494568690629296,0.059371,1.0,NGC1665,37.5,0.976572,Possible compact galaxies,82.98240650659207,-13.000128338638593,21.79051,20.381306,19.519962,19.870028,19.25811,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=758887368099496633
587737825144996513,137.62180915,60.3152296,0.9126449999999977,1.9285910000000008,3.0238699999999987,1.095278999999998,0.5753459999999997,0.4914688475920719,0.055834,0.659018,NGC2768,21.8,0.681976,Possible compact galaxies,154.10825171675685,-12.139571468023023,22.056648,20.128057,19.215412,19.552711,19.032778,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587737825144996513
587725552813801669,138.2478448,60.0326865,1.3425089999999997,2.1041619999999988,3.7708650000000006,1.6667030000000018,0.9158840000000019,0.4795021498733128,0.079974,0.639725,NGC2768,21.8,0.821577,Possible compact galaxies,67.61952762654751,-12.505537468023023,22.206791,20.102629,18.76012,19.186745,18.435926,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587725552813801669
587739407301738914,139.76668611,26.40885849,1.080362000000001,2.1568429999999985,3.185876999999998,1.0290339999999993,0.6883540000000004,0.4084687687572127,0.074814,0.970573,NGC2824,40.7,0.609757,Possible compact galaxies,201.00480534213213,-12.400175046126105,23.492994,21.336151,20.255789,20.647797,20.307117,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587739407301738914
587732483272605837,140.81674855,40.40297616,1.0232050000000008,1.7517469999999982,3.001422999999999,1.249676000000001,0.6964020000000026,0.4283255967253017,0.060715,0.62945,NGC2852,28.5,0.907794,Possible compact galaxies,94.82397319998616,-12.708663300042549,22.01371,20.261963,19.238758,19.565561,19.012287,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732483272605837
